reference,year,month,day,smart_meter_kwh,noise_db
unit 3 85 belcroft,2023,1,14,24.9,54.6
unit 3 85 belcroft,2023,1,15,22.9,47.9
unit 3 85 belcroft,2023,1,16,24.9,50.7
unit 3 85 belcroft,2023,1,17,24.0,49.2
unit 3 85 belcroft,2023,1,18,23.3,47.6
unit 3 85 belcroft,2023,1,19,22.9,46.8
unit 3 85 belcroft,2023,1,20,21.0,
unit 3 85 belcroft,2023,1,21,23.6,48.1
unit 3 85 belcroft,2023,1,22,25.5,40.9
unit 3 85 belcroft,2023,1,23,20.7,44.6
unit 3 85 belcroft,2023,1,24,19.7,50.4
unit 3 85 belcroft,2023,1,25,19.4,46.3
unit 3 85 belcroft,2023,1,26,27.8,
unit 3 85 belcroft,2023,1,27,22.2,38.2
unit 3 85 belcroft,2023,1,28,23.1,51.5
unit 3 85 belcroft,2023,1,29,24.2,53.1
unit 3 85 belcroft,2023,1,30,22.7,
unit 3 85 belcroft,2023,1,31,18.7,48.5
unit 3 85 belcroft,2023,2,1,23.8,46.2
unit 3 85 belcroft,2023,2,2,21.0,49.0
unit 3 85 belcroft,2023,2,3,22.9,50.1
unit 3 85 belcroft,2023,2,4,21.3,56.1
unit 3 85 belcroft,2023,2,5,21.3,48.0
unit 3 85 belcroft,2023,2,6,25.0,44.3
unit 3 85 belcroft,2023,2,7,24.5,51.2
unit 3 85 belcroft,2023,2,8,25.9,48.3
unit 3 85 belcroft,2023,2,9,21.8,44.6
unit 3 85 belcroft,2023,2,10,25.1,51.4
unit 3 85 belcroft,2023,2,11,22.7,47.0
unit 3 85 belcroft,2023,2,12,26.8,
unit 3 85 belcroft,2023,2,13,27.3,41.1
unit 3 85 belcroft,2023,2,14,18.9,53.0
unit 3 85 belcroft,2023,2,15,23.0,46.0
unit 3 85 belcroft,2023,2,16,20.5,51.2
unit 3 85 belcroft,2023,2,17,,47.9
unit 3 85 belcroft,2023,2,18,18.9,57.7
unit 3 85 belcroft,2023,2,19,23.4,50.6
unit 3 85 belcroft,2023,2,20,25.5,45.5
unit 3 85 belcroft,2023,2,21,20.4,52.0
unit 3 85 belcroft,2023,2,22,25.3,44.8
unit 3 85 belcroft,2023,2,23,21.7,53.0
unit 3 85 belcroft,2023,2,24,21.5,49.6
unit 3 85 belcroft,2023,2,25,24.8,57.3
unit 3 85 belcroft,2023,2,26,21.8,48.8
unit 3 85 belcroft,2023,2,27,20.2,50.7
unit 3 85 belcroft,2023,2,28,26.4,45.9
unit 3 85 belcroft,2023,3,1,22.1,40.1
unit 3 85 belcroft,2023,3,2,25.8,
unit 3 85 belcroft,2023,3,3,20.9,45.0
unit 3 85 belcroft,2023,3,4,20.5,42.0
unit 3 85 belcroft,2023,3,5,17.0,55.3
unit 3 85 belcroft,2023,3,6,21.0,51.5
unit 3 85 belcroft,2023,3,7,27.2,51.4
unit 3 85 belcroft,2023,3,8,24.6,46.3
unit 3 85 belcroft,2023,3,9,22.9,51.7
unit 3 85 belcroft,2023,3,10,20.5,50.9
unit 3 85 belcroft,2023,3,11,21.7,
unit 3 85 belcroft,2023,3,12,22.8,51.5
unit 3 85 belcroft,2023,3,13,24.6,38.0
unit 3 85 belcroft,2023,3,14,22.3,50.9
unit 3 85 belcroft,2023,3,15,21.6,
unit 3 85 belcroft,2023,3,16,23.9,47.9
unit 3 85 belcroft,2023,3,17,20.3,42.1
unit 3 85 belcroft,2023,3,18,22.0,50.4
unit 3 85 belcroft,2023,3,19,18.1,
unit 3 85 belcroft,2023,3,20,21.4,44.1
unit 3 85 belcroft,2023,3,21,18.1,52.4
unit 3 85 belcroft,2023,3,22,20.4,52.2
unit 3 85 belcroft,2023,3,23,24.4,51.5
unit 3 85 belcroft,2023,3,24,21.6,45.7
unit 3 85 belcroft,2023,3,25,21.4,49.5
unit 3 85 belcroft,2023,3,26,24.0,49.7
unit 3 85 belcroft,2023,3,27,22.6,
unit 3 85 belcroft,2023,3,28,19.0,51.0
unit 3 85 belcroft,2023,3,29,12.7,40.8
unit 3 85 belcroft,2023,3,30,21.9,50.7
unit 3 85 belcroft,2023,3,31,21.9,51.5
U56467760,2023,1,1,23.5,46.9
U56467760,2023,1,2,26.9,49.9
U56467760,2023,1,3,20.2,48.5
U56467760,2023,1,4,24.1,51.2
U56467760,2023,1,5,21.4,43.0
U56467760,2023,1,6,20.7,40.8
U56467760,2023,1,7,26.8,
U56467760,2023,1,8,19.9,51.6
U56467760,2023,1,9,20.6,41.0
U56467760,2023,1,10,24.3,
U56467760,2023,1,11,,52.5
U56467760,2023,1,12,21.9,49.9
U56467760,2023,1,13,22.4,44.3
U56467760,2023,1,14,22.3,50.4
U56467760,2023,1,15,23.5,33.3
U56467760,2023,1,16,21.2,51.9
U56467760,2023,1,17,24.2,46.8
U56467760,2023,1,18,24.2,42.3
U56467760,2023,1,19,20.4,42.6
U56467760,2023,1,20,25.0,48.0
U56467760,2023,1,21,24.4,53.6
U56467760,2023,1,22,20.8,45.2
U56467760,2023,1,23,23.1,38.7
U56467760,2023,1,24,24.5,57.3
U56467760,2023,1,25,24.1,41.7
U56467760,2023,1,26,22.6,43.6
U56467760,2023,1,27,24.2,
U56467760,2023,1,28,26.5,46.4
U56467760,2023,1,29,21.9,
U56467760,2023,1,30,22.2,47.5
U56467760,2023,1,31,23.2,41.6
U56467760,2023,2,1,20.0,44.0
U56467760,2023,2,2,23.3,48.0
U56467760,2023,2,3,19.2,45.1
U56467760,2023,2,4,20.8,52.4
U56467760,2023,2,5,19.7,51.3
U56467760,2023,2,6,21.4,54.2
U56467760,2023,2,7,26.9,43.4
U56467760,2023,2,8,21.2,43.2
U56467760,2023,2,9,18.9,51.7
U56467760,2023,2,10,21.2,48.0
U56467760,2023,2,11,28.1,58.3
U56467760,2023,2,12,26.1,53.0
U56467760,2023,2,13,22.8,46.4
U56467760,2023,2,14,26.4,48.9
U56467760,2023,2,15,24.3,43.5
U56467760,2023,2,16,25.6,44.3
U56467760,2023,2,17,26.5,50.9
U56467760,2023,2,18,21.5,49.5
U56467760,2023,2,19,20.9,
U56467760,2023,2,20,21.5,49.8
U56467760,2023,2,21,22.8,63.0
U56467760,2023,2,22,22.5,39.8
U56467760,2023,2,23,21.9,39.2
U56467760,2023,2,24,23.3,37.8
U56467760,2023,2,25,23.6,56.5
U56467760,2023,2,26,21.8,42.4
U56467760,2023,2,27,19.5,39.8
U56467760,2023,2,28,22.8,39.1
U56467760,2023,3,1,22.0,49.9
U56467760,2023,3,2,21.2,
U56467760,2023,3,3,23.5,48.9
U56467760,2023,3,4,23.9,50.2
U56467760,2023,3,5,23.6,52.7
U56467760,2023,3,6,19.7,52.3
U56467760,2023,3,7,27.4,44.2
U56467760,2023,3,8,20.5,63.1
U56467760,2023,3,9,25.6,54.7
U56467760,2023,3,10,19.4,49.9
U56467760,2023,3,11,23.5,47.7
U56467760,2023,3,12,27.2,57.7
U56467760,2023,3,13,24.4,53.9
U56467760,2023,3,14,21.4,41.8
U56467760,2023,3,15,23.6,42.8
U56467760,2023,3,16,21.2,47.7
U56467760,2023,3,17,28.5,
U56467760,2023,3,18,20.8,50.9
U56467760,2023,3,19,18.9,52.7
U56467760,2023,3,20,23.3,43.5
U56467760,2023,3,21,24.4,41.4
U56467760,2023,3,22,21.7,46.2
U56467760,2023,3,23,23.8,41.0
U56467760,2023,3,24,22.7,40.6
U56467760,2023,3,25,22.1,48.6
U56467760,2023,3,26,21.0,50.4
U56467760,2023,3,27,24.6,49.5
U56467760,2023,3,28,,49.5
U56467760,2023,3,29,22.4,48.7
U56467760,2023,3,30,23.0,51.0
U56467760,2023,3,31,19.7,53.1
U5768354,2023,1,1,25.2,45.2
U5768354,2023,1,2,25.6,46.5
U5768354,2023,1,3,22.5,51.1
U5768354,2023,1,4,23.2,48.2
U5768354,2023,1,5,16.5,44.7
U5768354,2023,1,6,25.8,42.1
U5768354,2023,1,7,23.5,57.3
U5768354,2023,1,8,29.4,42.2
U5768354,2023,1,9,,51.8
U5768354,2023,1,10,22.3,51.6
U5768354,2023,1,11,,49.8
U5768354,2023,1,12,26.4,43.7
U5768354,2023,1,13,23.7,49.8
U5768354,2023,1,14,23.7,
U5768354,2023,1,15,24.0,54.9
U5768354,2023,1,16,23.9,48.3
U5768354,2023,1,17,26.4,49.6
U5768354,2023,1,18,27.5,52.7
U5768354,2023,1,19,27.1,47.3
U5768354,2023,1,20,22.8,53.5
U5768354,2023,1,21,21.8,50.9
U5768354,2023,1,22,24.8,43.7
U5768354,2023,1,23,22.8,
U5768354,2023,1,24,24.0,44.5
U5768354,2023,1,25,26.0,55.3
U5768354,2023,1,26,23.7,50.1
U5768354,2023,1,27,25.4,56.1
U5768354,2023,1,28,21.7,46.9
U5768354,2023,1,29,24.2,57.8
U5768354,2023,1,30,19.8,61.0
U5768354,2023,1,31,19.7,50.6
U5768354,2023,2,1,23.8,45.9
U5768354,2023,2,2,25.9,38.2
U5768354,2023,2,3,21.5,54.8
U5768354,2023,2,4,24.5,44.7
U5768354,2023,2,5,30.1,53.7
U5768354,2023,2,6,24.1,51.6
U5768354,2023,2,7,25.0,50.5
U5768354,2023,2,8,26.9,50.1
U5768354,2023,2,9,26.9,
U5768354,2023,2,10,22.6,57.4
U5768354,2023,2,11,24.7,42.5
U5768354,2023,2,12,22.1,
U5768354,2023,2,13,21.3,43.6
U5768354,2023,2,14,24.7,49.9
U5768354,2023,2,15,24.7,54.9
U5768354,2023,2,16,26.2,52.1
U5768354,2023,2,17,26.8,40.2
U5768354,2023,2,18,21.5,44.4
U5768354,2023,2,19,23.7,57.1
U5768354,2023,2,20,22.4,49.5
U5768354,2023,2,21,23.9,41.5
U5768354,2023,2,22,25.1,
U5768354,2023,2,23,17.7,44.7
U5768354,2023,2,24,24.6,52.0
U5768354,2023,2,25,26.8,53.6
U5768354,2023,2,26,16.5,52.2
U5768354,2023,2,27,23.2,
U5768354,2023,2,28,29.2,
U5768354,2023,3,1,21.9,41.7
U5768354,2023,3,2,19.9,55.8
U5768354,2023,3,3,20.5,50.4
U5768354,2023,3,4,20.9,50.7
U5768354,2023,3,5,20.1,54.2
U5768354,2023,3,6,22.2,50.8
U5768354,2023,3,7,21.6,52.8
U5768354,2023,3,8,19.7,37.0
U5768354,2023,3,9,26.7,46.6
U5768354,2023,3,10,20.1,40.8
U5768354,2023,3,11,21.1,46.3
U5768354,2023,3,12,23.0,59.4
U5768354,2023,3,13,21.4,43.6
U5768354,2023,3,14,,44.5
U5768354,2023,3,15,,49.1
U5768354,2023,3,16,22.1,38.7
U5768354,2023,3,17,25.8,50.2
U5768354,2023,3,18,18.3,
U5768354,2023,3,19,20.1,45.2
U5768354,2023,3,20,26.9,
U5768354,2023,3,21,23.0,58.0
U5768354,2023,3,22,21.2,43.1
U5768354,2023,3,23,19.0,46.7
U5768354,2023,3,24,21.5,50.3
U5768354,2023,3,25,22.5,
U5768354,2023,3,26,22.7,49.9
U5768354,2023,3,27,23.2,47.7
U5768354,2023,3,28,18.9,45.4
U5768354,2023,3,29,25.8,51.5
U5768354,2023,3,30,24.4,50.0
U5768354,2023,3,31,16.4,52.4
apt 4b aldwick way,2023,1,1,24.3,52.2
apt 4b aldwick way,2023,1,2,24.5,
apt 4b aldwick way,2023,1,3,23.1,39.7
apt 4b aldwick way,2023,1,4,21.2,54.2
apt 4b aldwick way,2023,1,5,20.4,42.1
apt 4b aldwick way,2023,1,6,23.1,52.4
apt 4b aldwick way,2023,1,7,22.6,52.6
apt 4b aldwick way,2023,1,8,24.9,56.2
apt 4b aldwick way,2023,1,9,24.1,51.0
apt 4b aldwick way,2023,1,10,25.5,36.8
apt 4b aldwick way,2023,1,11,25.8,55.2
apt 4b aldwick way,2023,1,12,19.8,56.6
apt 4b aldwick way,2023,1,13,20.8,51.2
apt 4b aldwick way,2023,1,14,19.2,43.0
apt 4b aldwick way,2023,1,15,22.9,49.4
apt 4b aldwick way,2023,1,16,22.2,46.6
apt 4b aldwick way,2023,1,17,22.2,45.9
apt 4b aldwick way,2023,1,18,20.2,49.9
apt 4b aldwick way,2023,1,19,25.0,52.1
apt 4b aldwick way,2023,1,20,22.7,55.9
apt 4b aldwick way,2023,1,21,26.5,54.0
apt 4b aldwick way,2023,1,22,22.5,43.7
apt 4b aldwick way,2023,1,23,26.4,58.3
apt 4b aldwick way,2023,1,24,22.7,53.4
apt 4b aldwick way,2023,1,25,21.8,
apt 4b aldwick way,2023,1,26,22.8,
apt 4b aldwick way,2023,1,27,27.2,48.1
apt 4b aldwick way,2023,1,28,27.8,53.3
apt 4b aldwick way,2023,1,29,25.2,46.8
apt 4b aldwick way,2023,1,30,21.1,50.3
apt 4b aldwick way,2023,1,31,29.3,51.8
apt 4b aldwick way,2023,2,1,24.9,51.4
apt 4b aldwick way,2023,2,2,27.3,51.5
apt 4b aldwick way,2023,2,3,26.7,52.2
apt 4b aldwick way,2023,2,4,22.5,53.0
apt 4b aldwick way,2023,2,5,24.2,52.9
apt 4b aldwick way,2023,2,6,22.8,49.7
apt 4b aldwick way,2023,2,7,23.0,51.3
apt 4b aldwick way,2023,2,8,21.8,47.6
apt 4b aldwick way,2023,2,9,24.2,51.8
apt 4b aldwick way,2023,2,10,21.0,42.0
apt 4b aldwick way,2023,2,11,,48.7
apt 4b aldwick way,2023,2,12,23.3,
apt 4b aldwick way,2023,2,13,24.1,48.5
apt 4b aldwick way,2023,2,14,24.4,57.6
apt 4b aldwick way,2023,2,15,24.3,42.0
apt 4b aldwick way,2023,2,16,23.9,42.1
apt 4b aldwick way,2023,2,17,23.4,52.6
apt 4b aldwick way,2023,2,18,18.3,47.2
apt 4b aldwick way,2023,2,19,22.2,47.6
apt 4b aldwick way,2023,2,20,27.1,50.7
apt 4b aldwick way,2023,2,21,24.2,56.9
apt 4b aldwick way,2023,2,22,22.0,42.3
apt 4b aldwick way,2023,2,23,22.1,46.6
apt 4b aldwick way,2023,2,24,22.2,50.5
apt 4b aldwick way,2023,2,25,22.1,50.6
apt 4b aldwick way,2023,2,26,23.8,60.4
apt 4b aldwick way,2023,2,27,20.7,50.3
apt 4b aldwick way,2023,2,28,19.1,50.3
apt 4b aldwick way,2023,3,1,19.7,50.2
apt 4b aldwick way,2023,3,2,20.7,44.6
apt 4b aldwick way,2023,3,3,24.8,64.1
apt 4b aldwick way,2023,3,4,23.3,52.7
apt 4b aldwick way,2023,3,5,28.1,48.1
apt 4b aldwick way,2023,3,6,20.0,
apt 4b aldwick way,2023,3,7,21.7,49.7
apt 4b aldwick way,2023,3,8,17.2,44.0
apt 4b aldwick way,2023,3,9,22.1,51.9
apt 4b aldwick way,2023,3,10,23.7,49.6
apt 4b aldwick way,2023,3,11,22.8,
apt 4b aldwick way,2023,3,12,23.8,54.3
apt 4b aldwick way,2023,3,13,18.0,40.5
apt 4b aldwick way,2023,3,14,24.0,48.5
apt 4b aldwick way,2023,3,15,22.8,45.6
apt 4b aldwick way,2023,3,16,17.7,52.7
apt 4b aldwick way,2023,3,17,21.0,48.7
apt 4b aldwick way,2023,3,18,23.1,53.5
apt 4b aldwick way,2023,3,19,21.8,50.2
apt 4b aldwick way,2023,3,20,20.0,44.8
apt 4b aldwick way,2023,3,21,20.4,46.6
apt 4b aldwick way,2023,3,22,21.9,44.3
apt 4b aldwick way,2023,3,23,23.4,48.8
apt 4b aldwick way,2023,3,24,22.6,48.1
apt 4b aldwick way,2023,3,25,21.1,
apt 4b aldwick way,2023,3,26,13.8,49.7
apt 4b aldwick way,2023,3,27,23.9,32.5
apt 4b aldwick way,2023,3,28,22.2,62.5
apt 4b aldwick way,2023,3,29,22.6,46.6
apt 4b aldwick way,2023,3,30,20.0,53.3
apt 4b aldwick way,2023,3,31,21.9,50.6
unit 3 thornhaven,2023,1,1,26.0,58.7
unit 3 thornhaven,2023,1,2,25.1,55.8
unit 3 thornhaven,2023,1,3,26.5,40.2
unit 3 thornhaven,2023,1,4,26.0,55.7
unit 3 thornhaven,2023,1,5,,40.1
unit 3 thornhaven,2023,1,6,26.3,48.8
unit 3 thornhaven,2023,1,7,24.8,55.6
unit 3 thornhaven,2023,1,8,23.4,45.5
unit 3 thornhaven,2023,1,9,26.3,49.8
unit 3 thornhaven,2023,1,10,22.5,47.9
unit 3 thornhaven,2023,1,11,24.3,44.9
unit 3 thornhaven,2023,1,12,24.9,40.8
unit 3 thornhaven,2023,1,13,17.2,38.7
unit 3 thornhaven,2023,1,14,17.8,49.7
unit 3 thornhaven,2023,1,15,26.0,52.1
unit 3 thornhaven,2023,1,16,28.8,50.4
unit 3 thornhaven,2023,1,17,21.5,43.0
unit 3 thornhaven,2023,1,18,27.3,45.1
unit 3 thornhaven,2023,1,19,22.8,49.1
unit 3 thornhaven,2023,1,20,24.7,50.2
unit 3 thornhaven,2023,1,21,23.8,
unit 3 thornhaven,2023,1,22,23.2,64.1
unit 3 thornhaven,2023,1,23,22.0,48.7
unit 3 thornhaven,2023,1,24,19.7,46.1
unit 3 thornhaven,2023,1,25,19.9,50.7
unit 3 thornhaven,2023,1,26,21.3,48.7
unit 3 thornhaven,2023,1,27,24.3,43.9
unit 3 thornhaven,2023,1,28,20.8,44.0
unit 3 thornhaven,2023,1,29,26.3,58.0
unit 3 thornhaven,2023,1,30,25.7,40.8
unit 3 thornhaven,2023,1,31,23.1,37.2
unit 3 thornhaven,2023,2,1,,46.5
unit 3 thornhaven,2023,2,2,24.9,50.4
unit 3 thornhaven,2023,2,3,25.1,48.9
unit 3 thornhaven,2023,2,4,25.1,53.1
unit 3 thornhaven,2023,2,5,23.7,53.4
unit 3 thornhaven,2023,2,6,21.1,48.7
unit 3 thornhaven,2023,2,7,20.8,49.3
unit 3 thornhaven,2023,2,8,24.8,48.8
unit 3 thornhaven,2023,2,9,28.1,
unit 3 thornhaven,2023,2,10,23.7,
unit 3 thornhaven,2023,2,11,25.9,40.8
unit 3 thornhaven,2023,2,12,19.0,
unit 3 thornhaven,2023,2,13,24.4,46.1
unit 3 thornhaven,2023,2,14,19.7,53.3
unit 3 thornhaven,2023,2,15,25.0,41.7
unit 3 thornhaven,2023,2,16,21.6,57.7
unit 3 thornhaven,2023,2,17,20.9,49.0
unit 3 thornhaven,2023,2,18,22.9,47.0
unit 3 thornhaven,2023,2,19,24.0,52.4
unit 3 thornhaven,2023,2,20,22.8,52.5
unit 3 thornhaven,2023,2,21,20.5,52.8
unit 3 thornhaven,2023,2,22,22.2,52.7
unit 3 thornhaven,2023,2,23,25.1,43.9
unit 3 thornhaven,2023,2,24,28.2,54.2
unit 3 thornhaven,2023,2,25,23.2,51.3
unit 3 thornhaven,2023,2,26,20.6,48.7
unit 3 thornhaven,2023,2,27,17.3,51.1
unit 3 thornhaven,2023,2,28,22.8,48.1
unit 3 thornhaven,2023,3,1,22.8,46.9
unit 3 thornhaven,2023,3,2,20.7,58.3
unit 3 thornhaven,2023,3,3,23.1,47.6
unit 3 thornhaven,2023,3,4,18.1,43.1
unit 3 thornhaven,2023,3,5,18.9,44.3
unit 3 thornhaven,2023,3,6,25.1,62.2
unit 3 thornhaven,2023,3,7,23.0,52.8
unit 3 thornhaven,2023,3,8,21.9,46.7
unit 3 thornhaven,2023,3,9,27.1,
unit 3 thornhaven,2023,3,10,19.2,45.6
unit 3 thornhaven,2023,3,11,19.9,46.9
unit 3 thornhaven,2023,3,12,22.3,45.3
unit 3 thornhaven,2023,3,13,21.7,48.7
unit 3 thornhaven,2023,3,14,19.3,53.5
unit 3 thornhaven,2023,3,15,20.1,46.3
unit 3 thornhaven,2023,3,16,16.6,48.9
unit 3 thornhaven,2023,3,17,22.9,51.0
unit 3 thornhaven,2023,3,18,16.2,47.6
unit 3 thornhaven,2023,3,19,21.6,
unit 3 thornhaven,2023,3,20,20.2,49.7
unit 3 thornhaven,2023,3,21,21.2,50.3
unit 3 thornhaven,2023,3,22,24.4,49.1
unit 3 thornhaven,2023,3,23,21.1,47.6
unit 3 thornhaven,2023,3,24,20.6,
unit 3 thornhaven,2023,3,25,16.6,56.9
unit 3 thornhaven,2023,3,26,23.5,55.7
unit 3 thornhaven,2023,3,27,23.5,54.5
unit 3 thornhaven,2023,3,28,21.4,40.8
unit 3 thornhaven,2023,3,29,23.9,30.3
unit 3 thornhaven,2023,3,30,26.1,54.4
unit 3 thornhaven,2023,3,31,17.4,
U763012057,2023,1,1,21.3,51.2
U763012057,2023,1,2,18.7,50.9
U763012057,2023,1,3,24.1,40.4
U763012057,2023,1,4,23.2,48.3
U763012057,2023,1,5,28.3,43.9
U763012057,2023,1,6,22.6,41.3
U763012057,2023,1,7,27.5,42.1
U763012057,2023,1,8,25.6,52.0
U763012057,2023,1,9,23.0,47.6
U763012057,2023,1,10,24.1,49.5
U763012057,2023,1,11,25.7,46.7
U763012057,2023,1,12,23.7,51.0
U763012057,2023,1,13,20.8,49.9
U763012057,2023,1,14,20.7,
U763012057,2023,1,15,25.9,47.8
U763012057,2023,1,16,26.2,56.4
U763012057,2023,1,17,24.2,40.4
U763012057,2023,1,18,23.5,53.3
U763012057,2023,1,19,22.4,53.1
U763012057,2023,1,20,25.8,47.5
U763012057,2023,1,21,24.1,53.6
U763012057,2023,1,22,24.7,52.1
U763012057,2023,1,23,21.9,55.1
U763012057,2023,1,24,24.7,40.7
U763012057,2023,1,25,24.5,43.6
U763012057,2023,1,26,21.1,40.5
U763012057,2023,1,27,22.1,41.6
U763012057,2023,1,28,24.0,53.1
U763012057,2023,1,29,25.3,49.8
U763012057,2023,1,30,21.3,42.0
U763012057,2023,1,31,24.8,44.7
U763012057,2023,2,1,25.0,50.1
U763012057,2023,2,2,24.8,38.1
U763012057,2023,2,3,17.6,46.2
U763012057,2023,2,4,22.0,53.8
U763012057,2023,2,5,22.2,52.7
U763012057,2023,2,6,21.5,49.5
U763012057,2023,2,7,25.2,52.6
U763012057,2023,2,8,22.8,44.0
U763012057,2023,2,9,23.2,43.8
U763012057,2023,2,10,23.9,41.0
U763012057,2023,2,11,21.8,53.3
U763012057,2023,2,12,22.0,53.0
U763012057,2023,2,13,23.0,37.8
U763012057,2023,2,14,22.6,40.2
U763012057,2023,2,15,21.3,49.7
U763012057,2023,2,16,24.2,
U763012057,2023,2,17,19.2,48.0
U763012057,2023,2,18,23.6,50.4
U763012057,2023,2,19,23.8,49.0
U763012057,2023,2,20,21.4,42.3
U763012057,2023,2,21,28.5,50.6
U763012057,2023,2,22,23.7,52.5
U763012057,2023,2,23,23.3,44.4
U763012057,2023,2,24,24.9,46.3
U763012057,2023,2,25,20.4,53.3
U763012057,2023,2,26,17.2,51.3
U763012057,2023,2,27,,53.2
U763012057,2023,2,28,27.5,50.7
U763012057,2023,3,1,23.4,43.1
U763012057,2023,3,2,22.3,49.0
U763012057,2023,3,3,21.2,56.3
U763012057,2023,3,4,20.8,45.6
U763012057,2023,3,5,19.0,46.7
U763012057,2023,3,6,22.3,47.8
U763012057,2023,3,7,21.6,45.2
U763012057,2023,3,8,21.4,43.6
U763012057,2023,3,9,18.7,47.9
U763012057,2023,3,10,22.9,42.9
U763012057,2023,3,11,25.6,
U763012057,2023,3,12,18.9,51.6
U763012057,2023,3,13,23.4,46.5
U763012057,2023,3,14,18.3,51.5
U763012057,2023,3,15,23.3,36.9
U763012057,2023,3,16,26.4,
U763012057,2023,3,17,23.2,49.7
U763012057,2023,3,18,24.5,57.3
U763012057,2023,3,19,18.2,46.7
U763012057,2023,3,20,27.0,53.7
U763012057,2023,3,21,25.1,46.6
U763012057,2023,3,22,15.4,47.9
U763012057,2023,3,23,25.4,53.6
U763012057,2023,3,24,,47.8
U763012057,2023,3,25,24.5,51.6
U763012057,2023,3,26,21.4,52.4
U763012057,2023,3,27,19.2,46.1
U763012057,2023,3,28,20.7,
U763012057,2023,3,29,18.6,53.1
U763012057,2023,3,30,21.6,50.4
U763012057,2023,3,31,18.2,51.3
58 greyloch terr,2023,1,1,26.9,47.0
58 greyloch terr,2023,1,2,28.2,44.8
58 greyloch terr,2023,1,3,28.3,42.5
58 greyloch terr,2023,1,4,26.9,42.9
58 greyloch terr,2023,1,5,29.7,40.3
58 greyloch terr,2023,1,6,28.4,46.0
58 greyloch terr,2023,1,7,26.5,43.3
58 greyloch terr,2023,1,8,,48.7
58 greyloch terr,2023,1,9,29.5,49.6
58 greyloch terr,2023,1,10,26.0,
58 greyloch terr,2023,1,11,27.1,
58 greyloch terr,2023,1,12,26.4,
58 greyloch terr,2023,1,13,28.3,47.7
58 greyloch terr,2023,1,14,24.1,49.1
58 greyloch terr,2023,1,15,29.5,39.5
58 greyloch terr,2023,1,16,30.9,57.2
58 greyloch terr,2023,1,17,26.3,39.5
58 greyloch terr,2023,1,18,25.5,44.9
58 greyloch terr,2023,1,19,25.6,47.8
58 greyloch terr,2023,1,20,32.2,45.5
58 greyloch terr,2023,1,21,26.8,42.2
58 greyloch terr,2023,1,22,32.5,52.7
58 greyloch terr,2023,1,23,26.7,38.4
58 greyloch terr,2023,1,24,29.6,50.9
58 greyloch terr,2023,1,25,27.9,53.3
58 greyloch terr,2023,1,26,26.9,41.7
58 greyloch terr,2023,1,27,30.7,45.4
58 greyloch terr,2023,1,28,25.5,53.2
58 greyloch terr,2023,1,29,27.5,34.8
58 greyloch terr,2023,1,30,28.2,36.5
58 greyloch terr,2023,1,31,29.8,39.0
58 greyloch terr,2023,2,1,27.4,47.3
58 greyloch terr,2023,2,2,28.5,42.2
58 greyloch terr,2023,2,3,28.9,46.2
58 greyloch terr,2023,2,4,28.1,51.3
58 greyloch terr,2023,2,5,22.8,49.5
58 greyloch terr,2023,2,6,22.9,47.6
58 greyloch terr,2023,2,7,31.0,29.9
58 greyloch terr,2023,2,8,23.6,43.0
58 greyloch terr,2023,2,9,25.9,44.3
58 greyloch terr,2023,2,10,30.3,48.8
58 greyloch terr,2023,2,11,,48.1
58 greyloch terr,2023,2,12,31.9,41.4
58 greyloch terr,2023,2,13,27.1,35.7
58 greyloch terr,2023,2,14,25.6,43.9
58 greyloch terr,2023,2,15,29.6,41.7
58 greyloch terr,2023,2,16,23.8,43.4
58 greyloch terr,2023,2,17,25.0,52.8
58 greyloch terr,2023,2,18,32.2,41.4
58 greyloch terr,2023,2,19,25.3,59.5
58 greyloch terr,2023,2,20,25.6,41.4
58 greyloch terr,2023,2,21,24.1,47.0
58 greyloch terr,2023,2,22,30.6,
58 greyloch terr,2023,2,23,29.0,30.4
58 greyloch terr,2023,2,24,22.6,40.8
58 greyloch terr,2023,2,25,28.0,48.7
58 greyloch terr,2023,2,26,27.5,47.4
58 greyloch terr,2023,2,27,29.7,41.9
58 greyloch terr,2023,2,28,30.8,40.5
58 greyloch terr,2023,3,1,26.4,40.5
58 greyloch terr,2023,3,2,26.7,52.7
58 greyloch terr,2023,3,3,26.1,54.5
58 greyloch terr,2023,3,4,28.2,48.7
58 greyloch terr,2023,3,5,23.0,43.2
58 greyloch terr,2023,3,6,30.9,46.3
58 greyloch terr,2023,3,7,27.4,41.8
58 greyloch terr,2023,3,8,28.1,43.5
58 greyloch terr,2023,3,9,30.0,
58 greyloch terr,2023,3,10,25.8,34.8
58 greyloch terr,2023,3,11,20.9,51.3
58 greyloch terr,2023,3,12,24.3,
58 greyloch terr,2023,3,13,25.9,38.1
58 greyloch terr,2023,3,14,29.6,50.4
58 greyloch terr,2023,3,15,26.4,44.8
58 greyloch terr,2023,3,16,25.6,
58 greyloch terr,2023,3,17,28.0,44.4
58 greyloch terr,2023,3,18,28.2,44.3
58 greyloch terr,2023,3,19,23.3,41.1
58 greyloch terr,2023,3,20,21.9,47.6
58 greyloch terr,2023,3,21,26.7,47.2
58 greyloch terr,2023,3,22,25.3,50.5
58 greyloch terr,2023,3,23,28.4,
58 greyloch terr,2023,3,24,25.2,
58 greyloch terr,2023,3,25,31.1,34.6
