reference,year,month,day,avgTemperature,avgHumidity,avgCo2
U330870444,2023,1,24,22.29,54.77,643.02
U330870444,2023,1,25,21.34,50.33,579.08
U330870444,2023,1,26,20.23,54.58,593.46
U330870444,2023,1,27,21.05,56.11,553.02
U330870444,2023,1,28,21.68,58.0,604.32
U330870444,2023,1,29,21.46,56.55,633.06
U330870444,2023,1,30,20.44,59.76,
U330870444,2023,1,31,,53.87,731.61
U330870444,2023,2,1,20.78,58.37,721.86
U330870444,2023,2,2,20.59,57.9,
U330870444,2023,2,3,21.27,56.89,717.74
U330870444,2023,2,4,21.09,,
U330870444,2023,2,5,20.28,61.48,615.71
U330870444,2023,2,6,20.95,60.51,
U330870444,2023,2,7,20.96,56.92,
U330870444,2023,2,8,20.31,61.42,555.37
U330870444,2023,2,9,21.28,55.48,706.51
U330870444,2023,2,10,19.93,60.53,609.77
U330870444,2023,2,11,20.14,62.39,
U330870444,2023,2,12,21.6,55.76,576.18
U330870444,2023,2,13,21.0,63.05,
U330870444,2023,2,14,21.9,,
U330870444,2023,2,15,21.18,51.95,
U330870444,2023,2,16,22.25,57.02,
U330870444,2023,2,17,20.29,56.38,671.28
U330870444,2023,2,18,20.81,58.17,676.37
U330870444,2023,2,19,22.96,57.45,611.66
U330870444,2023,2,20,21.27,57.65,
U330870444,2023,2,21,21.29,55.07,681.7
U330870444,2023,2,22,21.41,59.98,512.36
U330870444,2023,2,23,20.52,56.89,583.32
U330870444,2023,2,24,21.24,58.54,
U330870444,2023,2,25,21.29,59.38,
U330870444,2023,2,26,,58.62,690.35
U330870444,2023,2,27,21.08,56.43,747.07
U330870444,2023,2,28,21.08,56.54,
U330870444,2023,3,1,19.84,57.05,
U330870444,2023,3,2,20.24,58.16,662.28
U330870444,2023,3,3,19.02,58.64,
U330870444,2023,3,4,19.15,62.05,661.11
U330870444,2023,3,5,18.94,52.93,543.75
U330870444,2023,3,6,18.99,61.51,
U330870444,2023,3,7,19.02,60.52,601.26
U330870444,2023,3,8,18.92,62.11,614.4
U330870444,2023,3,9,18.83,56.16,691.11
U330870444,2023,3,10,19.79,64.45,659.06
U330870444,2023,3,11,19.03,52.94,645.24
U330870444,2023,3,12,17.98,60.04,
U330870444,2023,3,13,19.38,57.48,590.34
U330870444,2023,3,14,20.6,62.48,
U330870444,2023,3,15,18.83,58.89,
U330870444,2023,3,16,19.32,61.32,
U330870444,2023,3,17,18.57,61.69,
U330870444,2023,3,18,19.52,52.97,599.12
U330870444,2023,3,19,19.15,,696.97
U330870444,2023,3,20,19.81,61.84,692.83
U330870444,2023,3,21,18.78,55.26,557.82
U330870444,2023,3,22,18.41,56.93,604.9
U330870444,2023,3,23,18.44,61.57,596.45
U330870444,2023,3,24,19.03,57.64,639.76
U330870444,2023,3,25,18.35,59.99,619.59
U330870444,2023,3,26,18.12,65.28,657.67
U330870444,2023,3,27,18.94,57.58,
U330870444,2023,3,28,18.31,56.32,
U330870444,2023,3,29,18.8,57.0,634.89
U330870444,2023,3,30,18.69,59.07,793.32
U330870444,2023,3,31,19.07,63.94,
unit 3 85 belcroft,2023,1,1,19.88,60.05,696.94
unit 3 85 belcroft,2023,1,2,20.57,55.44,
unit 3 85 belcroft,2023,1,3,19.43,55.38,684.31
unit 3 85 belcroft,2023,1,4,21.42,,
unit 3 85 belcroft,2023,1,5,19.37,57.79,592.15
unit 3 85 belcroft,2023,1,6,19.53,57.38,659.23
unit 3 85 belcroft,2023,1,7,20.79,60.81,592.72
unit 3 85 belcroft,2023,1,8,19.81,57.35,562.59
unit 3 85 belcroft,2023,1,9,19.13,56.95,754.51
unit 3 85 belcroft,2023,1,10,20.62,61.42,
unit 3 85 belcroft,2023,1,11,20.11,58.46,670.01
unit 3 85 belcroft,2023,1,12,19.43,58.14,629.5
unit 3 85 belcroft,2023,1,13,19.47,,
unit 3 85 belcroft,2023,1,14,19.64,58.9,809.45
unit 3 85 belcroft,2023,1,15,19.87,58.41,774.12
unit 3 85 belcroft,2023,1,16,18.85,,
unit 3 85 belcroft,2023,1,17,19.68,63.48,620.9
unit 3 85 belcroft,2023,1,18,20.59,60.56,636.43
unit 3 85 belcroft,2023,1,19,20.45,63.62,610.27
unit 3 85 belcroft,2023,1,20,20.15,53.99,668.46
unit 3 85 belcroft,2023,1,21,18.72,55.74,
unit 3 85 belcroft,2023,1,22,20.18,57.4,623.89
unit 3 85 belcroft,2023,1,23,19.59,60.6,
unit 3 85 belcroft,2023,1,24,19.91,55.29,
unit 3 85 belcroft,2023,1,25,20.76,61.48,672.54
unit 3 85 belcroft,2023,1,26,20.22,61.0,615.19
unit 3 85 belcroft,2023,1,27,20.82,56.36,
unit 3 85 belcroft,2023,1,28,20.15,55.53,617.06
unit 3 85 belcroft,2023,1,29,19.97,65.24,651.13
unit 3 85 belcroft,2023,1,30,20.53,56.34,666.39
unit 3 85 belcroft,2023,1,31,20.54,56.6,604.35
unit 3 85 belcroft,2023,2,1,21.38,54.72,695.04
unit 3 85 belcroft,2023,2,2,20.71,59.81,568.48
unit 3 85 belcroft,2023,2,3,21.52,59.48,583.08
unit 3 85 belcroft,2023,2,4,20.65,62.38,615.1
unit 3 85 belcroft,2023,2,5,18.81,53.37,
unit 3 85 belcroft,2023,2,6,19.64,52.12,589.34
unit 3 85 belcroft,2023,2,7,20.96,56.94,
unit 3 85 belcroft,2023,2,8,19.45,65.11,652.26
unit 3 85 belcroft,2023,2,9,21.61,58.4,608.35
unit 3 85 belcroft,2023,2,10,20.51,62.16,538.93
unit 3 85 belcroft,2023,2,11,20.76,55.68,695.17
unit 3 85 belcroft,2023,2,12,20.27,61.14,618.21
unit 3 85 belcroft,2023,2,13,20.05,58.44,707.53
unit 3 85 belcroft,2023,2,14,20.02,63.79,643.79
unit 3 85 belcroft,2023,2,15,19.61,55.79,
unit 3 85 belcroft,2023,2,16,20.43,55.07,673.94
unit 3 85 belcroft,2023,2,17,20.32,57.5,
unit 3 85 belcroft,2023,2,18,20.65,55.61,
unit 3 85 belcroft,2023,2,19,19.87,58.88,634.83
unit 3 85 belcroft,2023,2,20,20.03,61.66,615.23
unit 3 85 belcroft,2023,2,21,19.79,57.59,646.31
unit 3 85 belcroft,2023,2,22,20.16,62.47,683.66
unit 3 85 belcroft,2023,2,23,19.95,56.67,685.57
unit 3 85 belcroft,2023,2,24,20.42,56.32,568.72
unit 3 85 belcroft,2023,2,25,18.31,57.13,646.76
unit 3 85 belcroft,2023,2,26,20.48,55.06,667.79
unit 3 85 belcroft,2023,2,27,21.25,59.65,597.74
unit 3 85 belcroft,2023,2,28,19.67,61.92,689.78
unit 3 85 belcroft,2023,3,1,17.67,59.9,
unit 3 85 belcroft,2023,3,2,18.0,59.05,693.63
unit 3 85 belcroft,2023,3,3,18.5,63.3,640.81
unit 3 85 belcroft,2023,3,4,17.54,65.27,628.54
unit 3 85 belcroft,2023,3,5,17.86,63.03,
unit 3 85 belcroft,2023,3,6,17.3,64.49,769.83
unit 3 85 belcroft,2023,3,7,18.15,60.43,641.63
unit 3 85 belcroft,2023,3,8,17.42,55.89,608.2
unit 3 85 belcroft,2023,3,9,18.96,63.97,559.05
unit 3 85 belcroft,2023,3,10,18.26,57.73,
unit 3 85 belcroft,2023,3,11,17.56,65.36,635.45
unit 3 85 belcroft,2023,3,12,18.71,63.57,559.64
unit 3 85 belcroft,2023,3,13,18.22,60.28,685.95
unit 3 85 belcroft,2023,3,14,18.05,64.94,648.13
unit 3 85 belcroft,2023,3,15,18.76,62.27,640.47
unit 3 85 belcroft,2023,3,16,17.34,65.42,
unit 3 85 belcroft,2023,3,17,17.92,59.39,629.83
unit 3 85 belcroft,2023,3,18,18.53,68.17,570.61
unit 3 85 belcroft,2023,3,19,18.52,61.68,
unit 3 85 belcroft,2023,3,20,17.59,64.08,614.2
unit 3 85 belcroft,2023,3,21,18.06,62.67,597.63
unit 3 85 belcroft,2023,3,22,17.46,61.82,
unit 3 85 belcroft,2023,3,23,18.11,64.27,505.9
unit 3 85 belcroft,2023,3,24,17.82,58.53,653.82
unit 3 85 belcroft,2023,3,25,18.19,62.82,
unit 3 85 belcroft,2023,3,26,18.41,62.23,629.49
unit 3 85 belcroft,2023,3,27,18.05,55.13,679.33
unit 3 85 belcroft,2023,3,28,18.04,62.23,602.09
unit 3 85 belcroft,2023,3,29,17.97,60.56,
unit 3 85 belcroft,2023,3,30,17.41,,694.37
unit 3 85 belcroft,2023,3,31,17.66,62.92,601.76
U56467760,2023,1,1,22.01,53.62,
U56467760,2023,1,2,20.15,58.66,
U56467760,2023,1,3,20.67,57.64,724.31
U56467760,2023,1,4,22.28,58.76,
U56467760,2023,1,5,21.64,58.19,
U56467760,2023,1,6,20.98,57.9,608.2
U56467760,2023,1,7,21.26,60.22,
U56467760,2023,1,8,20.75,,
U56467760,2023,1,9,22.96,55.44,
U56467760,2023,1,10,21.17,62.25,682.25
U56467760,2023,1,11,20.89,57.26,
U56467760,2023,1,12,21.18,50.8,
U56467760,2023,1,13,21.59,52.21,
U56467760,2023,1,14,22.04,55.06,
U56467760,2023,1,15,21.67,53.22,
U56467760,2023,1,16,20.69,59.47,
U56467760,2023,1,17,22.28,58.52,
U56467760,2023,1,18,20.97,62.04,
U56467760,2023,1,19,21.86,56.76,
U56467760,2023,1,20,21.65,64.92,
U56467760,2023,1,21,21.5,53.6,
U56467760,2023,1,22,20.4,58.63,
U56467760,2023,1,23,20.94,55.57,
U56467760,2023,1,24,21.56,55.05,
U56467760,2023,1,25,21.21,60.24,
U56467760,2023,1,26,21.86,53.36,
U56467760,2023,1,27,21.86,56.0,
U56467760,2023,1,28,22.74,52.9,
U56467760,2023,1,29,20.95,54.15,
U56467760,2023,1,30,19.65,58.17,
U56467760,2023,1,31,21.06,57.16,
U56467760,2023,2,1,23.15,53.89,
U56467760,2023,2,2,22.49,,
U56467760,2023,2,3,21.05,57.22,
U56467760,2023,2,4,21.85,60.68,
U56467760,2023,2,5,20.95,54.77,
U56467760,2023,2,6,20.44,57.5,
U56467760,2023,2,7,21.79,56.72,
U56467760,2023,2,8,20.81,60.58,
U56467760,2023,2,9,21.63,57.91,
U56467760,2023,2,10,21.39,56.1,
U56467760,2023,2,11,20.14,55.23,
U56467760,2023,2,12,20.81,,
U56467760,2023,2,13,22.88,60.36,
U56467760,2023,2,14,21.81,61.16,
U56467760,2023,2,15,22.5,58.9,
U56467760,2023,2,16,21.06,55.39,
U56467760,2023,2,17,21.52,52.95,
U56467760,2023,2,18,21.78,58.34,
U56467760,2023,2,19,21.54,51.4,
U56467760,2023,2,20,22.67,50.48,
U56467760,2023,2,21,20.12,55.29,
U56467760,2023,2,22,20.62,55.16,
U56467760,2023,2,23,21.93,58.41,
U56467760,2023,2,24,21.34,56.81,
U56467760,2023,2,25,22.29,50.4,
U56467760,2023,2,26,22.27,52.67,
U56467760,2023,2,27,20.58,52.46,
U56467760,2023,2,28,,58.45,
U56467760,2023,3,1,18.8,64.94,
U56467760,2023,3,2,20.08,57.36,
U56467760,2023,3,3,19.17,56.58,
U56467760,2023,3,4,19.63,60.36,
U56467760,2023,3,5,19.61,61.67,
U56467760,2023,3,6,19.6,57.57,
U56467760,2023,3,7,19.12,60.08,
U56467760,2023,3,8,18.46,54.4,
U56467760,2023,3,9,19.32,60.12,
U56467760,2023,3,10,18.91,56.45,
U56467760,2023,3,11,19.5,56.35,
U56467760,2023,3,12,20.32,60.86,
U56467760,2023,3,13,19.11,61.68,
U56467760,2023,3,14,,61.24,
U56467760,2023,3,15,19.44,59.24,
U56467760,2023,3,16,19.65,62.7,
U56467760,2023,3,17,18.88,62.78,
U56467760,2023,3,18,19.75,58.11,
U56467760,2023,3,19,20.05,60.77,
U56467760,2023,3,20,18.3,59.81,
U56467760,2023,3,21,19.93,60.79,
U56467760,2023,3,22,19.76,60.48,
U56467760,2023,3,23,20.05,61.75,
U56467760,2023,3,24,19.07,59.79,
U56467760,2023,3,25,19.53,60.65,
U56467760,2023,3,26,19.96,,
U56467760,2023,3,27,20.06,62.23,
U56467760,2023,3,28,20.02,54.09,
U56467760,2023,3,29,20.41,59.99,
U56467760,2023,3,30,19.59,53.75,
U56467760,2023,3,31,18.94,54.6,
U5768354,2023,1,1,19.73,55.62,473.92
U5768354,2023,1,2,22.02,57.19,681.46
U5768354,2023,1,3,,62.05,
U5768354,2023,1,4,20.22,60.6,593.57
U5768354,2023,1,5,,57.92,
U5768354,2023,1,6,20.85,57.26,640.18
U5768354,2023,1,7,20.97,54.62,526.62
U5768354,2023,1,8,21.2,61.0,705.59
U5768354,2023,1,9,21.58,58.23,711.8
U5768354,2023,1,10,20.83,61.94,695.84
U5768354,2023,1,11,21.15,58.8,
U5768354,2023,1,12,22.75,50.9,701.6
U5768354,2023,1,13,22.74,56.6,612.41
U5768354,2023,1,14,21.2,56.53,657.5
U5768354,2023,1,15,21.97,53.07,695.43
U5768354,2023,1,16,21.31,56.83,740.83
U5768354,2023,1,17,22.06,54.95,639.61
U5768354,2023,1,18,22.51,60.29,617.52
U5768354,2023,1,19,21.09,60.5,569.58
U5768354,2023,1,20,21.49,57.71,585.46
U5768354,2023,1,21,23.09,54.46,686.39
U5768354,2023,1,22,20.31,,665.77
U5768354,2023,1,23,21.89,56.31,
U5768354,2023,1,24,,55.32,678.62
U5768354,2023,1,25,22.27,57.06,580.93
U5768354,2023,1,26,22.11,55.58,636.1
U5768354,2023,1,27,,59.16,
U5768354,2023,1,28,21.37,57.64,
U5768354,2023,1,29,21.95,54.38,598.68
U5768354,2023,1,30,,53.92,608.83
U5768354,2023,1,31,22.71,51.95,
U5768354,2023,2,1,22.23,54.76,
U5768354,2023,2,2,21.89,56.4,619.1
U5768354,2023,2,3,23.98,54.69,629.08
U5768354,2023,2,4,22.25,56.6,606.84
U5768354,2023,2,5,22.06,56.67,709.66
U5768354,2023,2,6,22.37,54.06,629.11
U5768354,2023,2,7,20.75,53.49,656.52
U5768354,2023,2,8,22.61,57.94,586.41
U5768354,2023,2,9,21.5,60.26,
U5768354,2023,2,10,21.15,,570.82
U5768354,2023,2,11,22.73,55.08,721.84
U5768354,2023,2,12,22.3,60.49,691.23
U5768354,2023,2,13,20.97,59.19,565.85
U5768354,2023,2,14,21.99,58.33,
U5768354,2023,2,15,21.73,62.21,562.59
U5768354,2023,2,16,21.46,58.55,
U5768354,2023,2,17,20.41,58.04,
U5768354,2023,2,18,21.27,63.05,658.61
U5768354,2023,2,19,20.58,55.31,562.7
U5768354,2023,2,20,21.56,61.16,612.49
U5768354,2023,2,21,21.24,56.9,670.27
U5768354,2023,2,22,21.08,57.67,590.93
U5768354,2023,2,23,21.46,49.52,795.09
U5768354,2023,2,24,21.88,60.3,685.95
U5768354,2023,2,25,22.28,54.8,
U5768354,2023,2,26,21.24,56.86,648.85
U5768354,2023,2,27,22.1,56.17,
U5768354,2023,2,28,20.86,56.26,674.89
U5768354,2023,3,1,19.19,58.78,644.81
U5768354,2023,3,2,19.59,59.85,
U5768354,2023,3,3,19.03,59.41,599.15
U5768354,2023,3,4,19.17,63.22,652.56
U5768354,2023,3,5,19.02,61.1,
U5768354,2023,3,6,19.82,61.85,
U5768354,2023,3,7,18.94,58.43,738.72
U5768354,2023,3,8,18.99,57.83,
U5768354,2023,3,9,18.81,60.85,667.89
U5768354,2023,3,10,19.63,62.89,652.63
U5768354,2023,3,11,19.15,54.78,695.3
U5768354,2023,3,12,21.41,58.58,605.99
U5768354,2023,3,13,19.61,57.49,
U5768354,2023,3,14,19.58,58.36,580.16
U5768354,2023,3,15,20.16,65.26,669.56
U5768354,2023,3,16,18.69,65.34,622.63
U5768354,2023,3,17,19.15,65.32,664.61
U5768354,2023,3,18,19.85,55.97,664.62
U5768354,2023,3,19,19.49,61.43,614.47
U5768354,2023,3,20,19.93,59.41,546.01
U5768354,2023,3,21,20.28,60.04,724.57
U5768354,2023,3,22,19.3,54.6,616.46
U5768354,2023,3,23,20.54,68.2,663.05
U5768354,2023,3,24,19.94,54.35,759.72
U5768354,2023,3,25,19.92,58.97,625.86
U5768354,2023,3,26,19.03,60.31,557.57
U5768354,2023,3,27,18.94,54.76,
U5768354,2023,3,28,19.22,59.01,638.67
U5768354,2023,3,29,18.98,57.23,
U5768354,2023,3,30,20.76,60.69,743.31
U5768354,2023,3,31,19.83,56.87,
apt 4b aldwick way,2023,1,1,20.98,56.92,
apt 4b aldwick way,2023,1,2,20.82,55.34,
apt 4b aldwick way,2023,1,3,21.46,58.26,611.36
apt 4b aldwick way,2023,1,4,21.87,57.95,667.97
apt 4b aldwick way,2023,1,5,21.63,59.24,
apt 4b aldwick way,2023,1,6,20.76,53.86,625.29
apt 4b aldwick way,2023,1,7,22.46,63.07,
apt 4b aldwick way,2023,1,8,21.25,61.48,759.96
apt 4b aldwick way,2023,1,9,,59.39,547.92
apt 4b aldwick way,2023,1,10,20.78,51.56,730.39
apt 4b aldwick way,2023,1,11,20.4,57.4,589.2
apt 4b aldwick way,2023,1,12,20.92,53.18,669.52
apt 4b aldwick way,2023,1,13,20.25,63.01,671.9
apt 4b aldwick way,2023,1,14,19.79,59.4,
apt 4b aldwick way,2023,1,15,20.52,62.46,
apt 4b aldwick way,2023,1,16,21.39,53.69,
apt 4b aldwick way,2023,1,17,21.43,57.25,
apt 4b aldwick way,2023,1,18,21.18,52.23,578.82
apt 4b aldwick way,2023,1,19,21.04,52.89,717.42
apt 4b aldwick way,2023,1,20,20.02,59.16,549.38
apt 4b aldwick way,2023,1,21,22.01,60.49,735.3
apt 4b aldwick way,2023,1,22,21.27,52.3,665.35
apt 4b aldwick way,2023,1,23,21.62,59.64,
apt 4b aldwick way,2023,1,24,21.35,54.23,617.44
apt 4b aldwick way,2023,1,25,,61.17,721.77
apt 4b aldwick way,2023,1,26,20.87,57.47,665.15
apt 4b aldwick way,2023,1,27,21.83,53.69,
apt 4b aldwick way,2023,1,28,21.16,53.7,
apt 4b aldwick way,2023,1,29,19.2,61.16,
apt 4b aldwick way,2023,1,30,20.28,61.61,
apt 4b aldwick way,2023,1,31,20.86,58.6,544.89
apt 4b aldwick way,2023,2,1,21.15,59.64,
apt 4b aldwick way,2023,2,2,20.16,57.47,715.47
apt 4b aldwick way,2023,2,3,22.92,54.62,648.54
apt 4b aldwick way,2023,2,4,20.89,58.13,757.4
apt 4b aldwick way,2023,2,5,20.05,60.36,585.68
apt 4b aldwick way,2023,2,6,22.33,55.73,
apt 4b aldwick way,2023,2,7,21.81,57.86,
apt 4b aldwick way,2023,2,8,20.85,59.04,638.96
apt 4b aldwick way,2023,2,9,21.15,64.11,654.67
apt 4b aldwick way,2023,2,10,22.15,59.33,
apt 4b aldwick way,2023,2,11,21.48,54.18,
apt 4b aldwick way,2023,2,12,22.39,57.98,777.16
apt 4b aldwick way,2023,2,13,21.33,51.58,671.13
apt 4b aldwick way,2023,2,14,21.26,61.87,569.64
apt 4b aldwick way,2023,2,15,22.16,64.34,
apt 4b aldwick way,2023,2,16,22.43,,610.84
apt 4b aldwick way,2023,2,17,21.56,59.42,653.04
apt 4b aldwick way,2023,2,18,20.44,58.73,679.66
apt 4b aldwick way,2023,2,19,21.24,60.25,
apt 4b aldwick way,2023,2,20,21.54,59.29,588.77
apt 4b aldwick way,2023,2,21,21.79,,544.09
apt 4b aldwick way,2023,2,22,21.1,,626.93
apt 4b aldwick way,2023,2,23,21.93,52.45,682.08
apt 4b aldwick way,2023,2,24,22.02,53.12,692.8
apt 4b aldwick way,2023,2,25,21.91,57.67,554.11
apt 4b aldwick way,2023,2,26,21.75,52.7,685.76
apt 4b aldwick way,2023,2,27,20.98,50.12,712.52
apt 4b aldwick way,2023,2,28,21.66,61.9,597.4
apt 4b aldwick way,2023,3,1,,52.68,
apt 4b aldwick way,2023,3,2,18.79,56.82,
apt 4b aldwick way,2023,3,3,18.56,54.17,646.69
apt 4b aldwick way,2023,3,4,,63.53,530.18
apt 4b aldwick way,2023,3,5,18.55,59.51,644.71
apt 4b aldwick way,2023,3,6,19.76,60.35,724.64
apt 4b aldwick way,2023,3,7,19.6,57.29,685.31
apt 4b aldwick way,2023,3,8,20.04,59.57,652.56
apt 4b aldwick way,2023,3,9,19.31,55.93,621.17
apt 4b aldwick way,2023,3,10,19.75,61.38,672.27
apt 4b aldwick way,2023,3,11,19.01,60.8,
apt 4b aldwick way,2023,3,12,18.92,61.77,639.99
apt 4b aldwick way,2023,3,13,19.15,54.98,671.67
apt 4b aldwick way,2023,3,14,20.56,56.95,
apt 4b aldwick way,2023,3,15,19.09,56.34,
apt 4b aldwick way,2023,3,16,18.42,,
apt 4b aldwick way,2023,3,17,18.63,64.08,665.94
apt 4b aldwick way,2023,3,18,18.76,56.66,537.3
apt 4b aldwick way,2023,3,19,19.55,63.13,683.0
apt 4b aldwick way,2023,3,20,19.67,59.14,681.2
apt 4b aldwick way,2023,3,21,19.3,60.76,
apt 4b aldwick way,2023,3,22,19.08,54.78,731.29
apt 4b aldwick way,2023,3,23,18.3,59.41,604.11
apt 4b aldwick way,2023,3,24,19.62,54.74,692.09
apt 4b aldwick way,2023,3,25,18.45,62.15,
apt 4b aldwick way,2023,3,26,19.0,63.07,640.54
apt 4b aldwick way,2023,3,27,19.37,56.23,547.73
apt 4b aldwick way,2023,3,28,18.35,59.07,650.21
apt 4b aldwick way,2023,3,29,19.51,,553.64
apt 4b aldwick way,2023,3,30,20.66,62.83,688.08
apt 4b aldwick way,2023,3,31,18.78,59.72,689.16
unit 3 thornhaven,2023,1,1,20.11,58.19,
unit 3 thornhaven,2023,1,2,20.99,57.42,576.18
unit 3 thornhaven,2023,1,3,20.0,,638.52
unit 3 thornhaven,2023,1,4,20.87,57.21,565.41
unit 3 thornhaven,2023,1,5,19.75,59.15,671.47
unit 3 thornhaven,2023,1,6,21.44,52.57,666.24
unit 3 thornhaven,2023,1,7,21.15,59.6,667.52
unit 3 thornhaven,2023,1,8,20.47,55.35,693.85
unit 3 thornhaven,2023,1,9,20.92,50.56,683.45
unit 3 thornhaven,2023,1,10,19.84,55.47,613.14
unit 3 thornhaven,2023,1,11,20.45,62.7,
unit 3 thornhaven,2023,1,12,,48.09,
unit 3 thornhaven,2023,1,13,21.12,56.11,684.8
unit 3 thornhaven,2023,1,14,21.08,62.06,
unit 3 thornhaven,2023,1,15,20.95,50.35,635.53
unit 3 thornhaven,2023,1,16,21.11,57.25,540.61
unit 3 thornhaven,2023,1,17,22.16,56.01,714.73
unit 3 thornhaven,2023,1,18,21.82,57.38,552.34
unit 3 thornhaven,2023,1,19,20.11,55.86,
unit 3 thornhaven,2023,1,20,20.1,60.14,582.79
unit 3 thornhaven,2023,1,21,,54.6,695.34
unit 3 thornhaven,2023,1,22,20.74,53.74,592.46
unit 3 thornhaven,2023,1,23,20.72,55.28,
unit 3 thornhaven,2023,1,24,20.74,58.24,750.44
unit 3 thornhaven,2023,1,25,21.93,58.73,569.24
unit 3 thornhaven,2023,1,26,20.82,58.55,
unit 3 thornhaven,2023,1,27,21.53,56.52,623.22
unit 3 thornhaven,2023,1,28,20.63,49.47,
unit 3 thornhaven,2023,1,29,21.76,53.84,706.74
unit 3 thornhaven,2023,1,30,21.2,56.09,665.1
unit 3 thornhaven,2023,1,31,21.09,61.33,718.6
unit 3 thornhaven,2023,2,1,21.8,57.33,593.36
unit 3 thornhaven,2023,2,2,21.8,53.21,651.42
unit 3 thornhaven,2023,2,3,21.16,56.94,670.44
unit 3 thornhaven,2023,2,4,21.25,58.76,
unit 3 thornhaven,2023,2,5,21.23,57.89,
unit 3 thornhaven,2023,2,6,19.24,53.24,640.56
unit 3 thornhaven,2023,2,7,20.91,59.4,
unit 3 thornhaven,2023,2,8,21.08,51.72,609.93
unit 3 thornhaven,2023,2,9,,58.35,
unit 3 thornhaven,2023,2,10,21.41,56.28,711.25
unit 3 thornhaven,2023,2,11,20.66,60.36,700.88
unit 3 thornhaven,2023,2,12,20.37,56.58,609.1
unit 3 thornhaven,2023,2,13,21.34,56.7,824.01
unit 3 thornhaven,2023,2,14,21.53,59.11,593.65
unit 3 thornhaven,2023,2,15,20.75,58.6,
unit 3 thornhaven,2023,2,16,21.02,52.65,579.45
unit 3 thornhaven,2023,2,17,21.08,52.88,
unit 3 thornhaven,2023,2,18,20.73,,
unit 3 thornhaven,2023,2,19,21.54,53.48,
unit 3 thornhaven,2023,2,20,20.27,56.77,519.52
unit 3 thornhaven,2023,2,21,20.92,55.19,707.34
unit 3 thornhaven,2023,2,22,22.34,57.14,
unit 3 thornhaven,2023,2,23,20.79,53.2,643.95
unit 3 thornhaven,2023,2,24,20.27,58.7,696.26
unit 3 thornhaven,2023,2,25,22.14,57.27,739.81
unit 3 thornhaven,2023,2,26,21.42,58.08,711.84
unit 3 thornhaven,2023,2,27,20.63,57.92,677.98
unit 3 thornhaven,2023,2,28,20.99,55.38,735.45
unit 3 thornhaven,2023,3,1,19.2,56.05,549.84
unit 3 thornhaven,2023,3,2,18.71,57.77,633.9
unit 3 thornhaven,2023,3,3,19.0,56.39,567.81
unit 3 thornhaven,2023,3,4,19.2,57.87,556.82
unit 3 thornhaven,2023,3,5,19.21,55.18,673.26
unit 3 thornhaven,2023,3,6,19.32,57.18,
unit 3 thornhaven,2023,3,7,18.46,64.61,592.95
unit 3 thornhaven,2023,3,8,19.67,64.47,679.76
unit 3 thornhaven,2023,3,9,18.78,58.5,497.84
unit 3 thornhaven,2023,3,10,17.77,60.63,
unit 3 thornhaven,2023,3,11,,56.28,
unit 3 thornhaven,2023,3,12,18.93,54.76,632.77
unit 3 thornhaven,2023,3,13,18.97,61.27,644.81
unit 3 thornhaven,2023,3,14,18.19,61.06,
unit 3 thornhaven,2023,3,15,18.25,61.08,542.65
unit 3 thornhaven,2023,3,16,19.76,60.69,592.76
unit 3 thornhaven,2023,3,17,18.91,60.34,708.35
unit 3 thornhaven,2023,3,18,18.89,,
unit 3 thornhaven,2023,3,19,19.58,61.33,614.62
unit 3 thornhaven,2023,3,20,18.65,60.02,664.95
unit 3 thornhaven,2023,3,21,19.38,,
unit 3 thornhaven,2023,3,22,18.6,65.05,
unit 3 thornhaven,2023,3,23,18.1,53.84,585.85
unit 3 thornhaven,2023,3,24,20.12,63.69,
unit 3 thornhaven,2023,3,25,18.88,60.92,
unit 3 thornhaven,2023,3,26,19.2,58.44,662.17
unit 3 thornhaven,2023,3,27,19.25,57.79,622.76
unit 3 thornhaven,2023,3,28,18.9,57.47,588.1
unit 3 thornhaven,2023,3,29,19.39,59.6,488.98
unit 3 thornhaven,2023,3,30,18.37,61.88,750.0
unit 3 thornhaven,2023,3,31,18.61,54.3,532.3
U763012057,2023,1,1,20.65,54.71,633.16
U763012057,2023,1,2,21.77,56.76,
U763012057,2023,1,3,,,661.81
U763012057,2023,1,4,20.9,62.8,621.28
U763012057,2023,1,5,20.68,54.1,619.98
U763012057,2023,1,6,18.32,57.4,
U763012057,2023,1,7,21.18,57.62,632.74
U763012057,2023,1,8,20.56,61.3,810.44
U763012057,2023,1,9,20.93,61.69,751.92
U763012057,2023,1,10,19.99,60.48,767.73
U763012057,2023,1,11,21.32,55.46,
U763012057,2023,1,12,19.52,58.89,570.04
U763012057,2023,1,13,21.6,53.97,
U763012057,2023,1,14,21.04,59.2,
U763012057,2023,1,15,20.98,63.95,718.61
U763012057,2023,1,16,21.06,57.4,639.81
U763012057,2023,1,17,20.68,55.24,671.35
U763012057,2023,1,18,20.7,60.97,674.09
U763012057,2023,1,19,21.97,57.15,713.14
U763012057,2023,1,20,20.93,63.51,
U763012057,2023,1,21,22.3,53.1,557.54
U763012057,2023,1,22,21.56,56.34,649.26
U763012057,2023,1,23,20.81,52.65,
U763012057,2023,1,24,21.72,50.78,
U763012057,2023,1,25,19.5,59.69,558.55
U763012057,2023,1,26,20.99,56.05,
